C,NEMP.WORLD,GSH_BENCHMARK_PRICE_FIRM_WEB,AEMO,PUBLIC,2020/03/01,19:30:07,0000000319759750,GSH,0000000319759749
D,GSH,BENCHMARK_PRICE,1,"2020/01/13 00:00:00",WAL,"Gas - NG DA Days",7,1,"2020/01/12 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2020/01/13 00:00:00",SEQ,"Gas - NG DA Days",5.62,1,"2020/01/12 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2020/01/12 00:00:00",WAL,"Gas - NG DA Days",7,1,"2020/01/11 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/01/12 00:00:00",SEQ,"Gas - NG DA Days",5.62,1,"2020/01/11 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/01/11 00:00:00",WAL,"Gas - NG DA Days",7,1,"2020/01/10 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/01/11 00:00:00",SEQ,"Gas - NG DA Days",5.62,1,"2020/01/10 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/01/10 00:00:00",WAL,"Gas - NG DA Days",7,1,"2020/01/09 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2020/01/10 00:00:00",SEQ,"Gas - NG DA Days",6.05,1,"2020/01/09 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2020/01/09 00:00:00",WAL,"Gas - NG DA Days",7,1,"2020/01/08 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/01/09 00:00:00",SEQ,"Gas - NG DA Days",6.05,1,"2020/01/08 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/01/08 00:00:00",WAL,"Gas - NG DA Days",7,1,"2020/01/07 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2020/01/08 00:00:00",SEQ,"Gas - NG DA Days",6.05,1,"2020/01/07 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2020/01/07 00:00:00",WAL,"Gas - NG DA Days",7,1,"2020/01/06 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2020/01/07 00:00:00",SEQ,"Gas - NG DA Days",5.23,1,"2020/01/06 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2020/01/06 00:00:00",WAL,"Gas - NG DA Days",7,1,"2020/01/05 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/01/06 00:00:00",SEQ,"Gas - NG DA Days",5.23,1,"2020/01/05 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2020/01/05 00:00:00",WAL,"Gas - NG DA Days",7,1,"2020/01/04 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/01/05 00:00:00",SEQ,"Gas - NG DA Days",5.23,1,"2020/01/04 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/01/04 00:00:00",WAL,"Gas - NG DA Days",7,1,"2020/01/03 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2020/01/04 00:00:00",SEQ,"Gas - NG DA Days",5.50,1,"2020/01/03 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2020/01/03 00:00:00",WAL,"Gas - NG DA Days",7,1,"2020/01/02 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/01/03 00:00:00",SEQ,"Gas - NG DA Days",5.50,1,"2020/01/02 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/01/02 00:00:00",WAL,"Gas - NG DA Days",7,1,"2020/01/01 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/01/02 00:00:00",SEQ,"Gas - NG DA Days",5.50,1,"2020/01/01 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2020/01/01 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/31 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2020/01/01 00:00:00",SEQ,"Gas - NG DA Days",5.70,1,"2019/12/31 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2019/12/31 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/30 19:30:05"
D,GSH,BENCHMARK_PRICE,1,"2019/12/31 00:00:00",SEQ,"Gas - NG DA Days",4.95,1,"2019/12/30 19:30:05"
D,GSH,BENCHMARK_PRICE,1,"2019/12/30 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/29 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2019/12/30 00:00:00",SEQ,"Gas - NG DA Days",4.95,1,"2019/12/29 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2019/12/29 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/28 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2019/12/29 00:00:00",SEQ,"Gas - NG DA Days",4.95,1,"2019/12/28 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2019/12/28 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/27 19:30:02"
D,GSH,BENCHMARK_PRICE,1,"2019/12/28 00:00:00",SEQ,"Gas - NG DA Days",4.95,1,"2019/12/27 19:30:02"
D,GSH,BENCHMARK_PRICE,1,"2019/12/27 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/26 19:30:04"
D,GSH,BENCHMARK_PRICE,1,"2019/12/27 00:00:00",SEQ,"Gas - NG DA Days",6.50,1,"2019/12/26 19:30:04"
D,GSH,BENCHMARK_PRICE,1,"2019/12/26 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/25 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2019/12/26 00:00:00",SEQ,"Gas - NG DA Days",6.50,1,"2019/12/25 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2019/12/25 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/24 19:30:05"
D,GSH,BENCHMARK_PRICE,1,"2019/12/25 00:00:00",SEQ,"Gas - NG DA Days",6.50,1,"2019/12/24 19:30:05"
D,GSH,BENCHMARK_PRICE,1,"2019/12/24 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/23 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2019/12/24 00:00:00",SEQ,"Gas - NG DA Days",6.50,1,"2019/12/23 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2019/12/23 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/22 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2019/12/23 00:00:00",SEQ,"Gas - NG DA Days",6,1,"2019/12/22 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2019/12/22 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/21 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2019/12/22 00:00:00",SEQ,"Gas - NG DA Days",6,1,"2019/12/21 19:30:09"
